seller_issuer_id,servicer_from,issuer_id,servicer_to,transition_month,n_loans,total_upb,frac_seller_n,frac_seller_upb,frac_buyer_n,frac_buyer_upb
4186,PODIUM MORTGAGE CAPITAL LLC,4159,PINGORA LOAN SERVICING  LLC.,201504,60,0.0,0.011111111111111112,0.0,0.0008447610734097372,0.0
4138,CORNERSTONE CAPITAL BANK  SSB,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201504,57,0.0,0.013561741613133477,0.0,0.0023998989516230895,0.0
4050,STANDARD PACIFIC MORTGAGE  INC.,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201504,54,0.0,0.08925619834710743,0.0,0.0022735884804850324,0.0
3541,NVR MORTGAGE FINANCE  INC.,3967,STEARNS LENDING  LLC,201504,44,0.0,1.0,NaN,0.0009301342352816827,0.0
1990,CLICK N' CLOSE  INC.,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201504,43,0.0,0.0038603106203429394,0.0,0.0018104500863121552,0.0
4172,AMWEST FUNDING CORP.,4159,PINGORA LOAN SERVICING  LLC.,201504,28,0.0,0.003336908592539626,0.0,0.0003942218342578774,0.0
4105,MOUNTAIN WEST FINANCIAL  LLC,4159,PINGORA LOAN SERVICING  LLC.,201504,12,0.0,0.0020181634712411706,0.0,0.00016895221468194745,0.0
4245,TOTAL MORTGAGE SERVICES  LLC,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201504,6,0.0,0.1935483870967742,0.0,0.00025262094227611467,0.0
4207,MORTGAGE SERVICES III  LLC,4092,PHH MORTGAGE CORPORATION,201504,5,0.0,1.0,NaN,0.000029700558964519714,0.0
4180,LOANDEPOT.COM LLC,4159,PINGORA LOAN SERVICING  LLC.,201504,3,0.0,0.00008025682182985554,0.0,0.00004223805367048686,0.0
2936,BANK OF AMERICA  N.A.,4052,NATIONSTAR MORTGAGE  LLC,201505,111642,18511090667.19,0.22714038953349977,0.2364436469691955,0.23424281589901974,0.27771154930687125
3975,JP MORGAN CHASE BANK N.A.,4094,PENNYMAC LOAN SERVICES  LLC,201505,48198,7534793301.85,0.047766714336257926,0.05629326182013615,0.12328840708349427,0.13458853062840534
4008,DORAL BANK,4344,BANCO POPULAR DE PUERTO RICO,201505,31230,2544930349.11,1.0,1.0,1.0,1.0
4079,PROSPECT MORTGAGE  LLC,4150,LAKEVIEW LOAN SERVICING  LLC,201505,5622,1076724513.88,0.2636713253916143,0.32047542091367076,0.021488032900922664,0.029907019331629665
3907,BANK OF AMERICA  NA,4052,NATIONSTAR MORTGAGE  LLC,201505,3637,256245975.61,0.15743907190164927,0.15276139123190105,0.00763100913119377,0.0038443151821645947
4172,AMWEST FUNDING CORP.,4150,LAKEVIEW LOAN SERVICING  LLC,201505,3617,764855986.88,0.40082003546099293,0.6035829378760323,0.01382465581690453,0.021244582519166264
4178,CMG MORTGAGE  INC.,4159,PINGORA LOAN SERVICING  LLC.,201505,1803,1167497.46,0.11538461538461539,0.0004191003323423837,0.023505944931163956,0.0001334307680105671
4200,W.J. BRADLEY MORTGAGE CAPITAL LLC,4150,LAKEVIEW LOAN SERVICING  LLC,201505,1352,285795705.86,0.2777321281840592,0.32808966659728894,0.005167524098549882,0.007938240088220331
4104,PRIMELENDING  A PLAINSCAPITAL COMPANY,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201505,1167,0.0,0.10048217668331325,0.0,0.04296759941089838,0.0
4017,BANK OF AMERICA  NA,4052,NATIONSTAR MORTGAGE  LLC,201505,936,97000154.94,0.18772563176895307,0.1827190841081371,0.0019638780717067274,0.001455239121006541
4269,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4085,DITECH FINANCIAL LLC,201505,721,0.0,0.13337032926378098,0.0,0.028815794732424762,0.0
1977,PULTE MORTGAGE LLC,3967,STEARNS LENDING  LLC,201505,689,46137446.39,0.5099925980754997,1.0,0.014031443466927338,0.0067745615289752144
4196,MOVEMENT MORTGAGE LLC,4052,NATIONSTAR MORTGAGE  LLC,201505,679,0.0,0.6585838991270611,0.0,0.0014246508661205854,0.0
4262,MISSION SERVICING RESIDENTIAL  INC.,4159,PINGORA LOAN SERVICING  LLC.,201505,564,0.0,1.0,NaN,0.007352941176470588,0.0
2397,PHH MORTGAGE CORPORATION,4159,PINGORA LOAN SERVICING  LLC.,201505,497,0.0,0.0041412180347129065,0.0,0.006479453483521068,0.0
4269,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201505,489,0.0,0.09045504994450611,0.0,0.01800441826215022,0.0
2706,LENNAR MORTGAGE  LLC,4159,PINGORA LOAN SERVICING  LLC.,201505,427,0.0,0.06960065199674001,0.0,0.005566854401335002,0.0
3871,DBA FREEDOM HOME MORTGAGE CORP,4159,PINGORA LOAN SERVICING  LLC.,201505,418,0.0,0.0020036429872495446,0.0,0.005449520233625365,0.0
3833,DHI MORTGAGE COMPANY  LTD.,4159,PINGORA LOAN SERVICING  LLC.,201505,395,0.0,0.6475409836065574,NaN,0.005149666249478515,0.0
4221,BAY EQUITY LLC,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201505,382,0.0,0.8863109048723898,0.0,0.01406480117820324,0.0
3219,UNION HOME MORTGAGE CORP.,4159,PINGORA LOAN SERVICING  LLC.,201505,364,0.0,0.1852417302798982,0.0,0.004745515227367543,0.0
4186,PODIUM MORTGAGE CAPITAL LLC,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201505,356,0.0,0.06430635838150289,0.0,0.013107511045655376,0.0
