servicer_from,servicer_to,n_loans,total_upb,transition_month,frac_seller_n,frac_seller_upb,frac_buyer_n,frac_buyer_upb
"PINGORA LOAN SERVICING, LLC",FAIRWAY INDEPENDENT MORTGAGE CORPORATION,1,578000.0,201907,2.9744907671806587e-6,8.016388565657708e-6,0.0001408649105507818,0.00038185167509968736
"CMC FUNDING, INC.","CASTLE & COOKE MORTGAGE, LLC",1,81000.0,201907,0.00004826254826254826,0.00001931744856896671,0.00015415446277169725,0.00006214794126179716
"PNC BANK, NATIONAL ASSOCIATION","CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP",1,293007.23,201907,4.55879939459144e-6,7.70085066640932e-6,0.00014660606949127694,0.00020876507634115887
"PERL MORTGAGE, INC.","PINGORA LOAN SERVICING, LLC",1,90000.0,201907,0.5,0.16304347826086957,3.5155069009400466e-6,1.3484857644608644e-6
"PINGORA LOAN SERVICING, LLC",FREEDOM MORTGAGE CORPORATION,1,325000.0,201907,2.9744907671806587e-6,4.236302900550822e-6,5.66344416693568e-6,8.471284375761104e-6
"CMC FUNDING, INC.",MASON-MCDUFFIE MORTGAGE CORPORATION,1,161000.0,201907,0.00004826254826254826,0.000037928161214678536,0.0030959752321981426,0.0027451415046582587
"SENECA MORTGAGE SERVICING, LLC",FEDERAL NATIONAL MORTGAGE ASSOCIATION,1,200591.11,201907,0.5,0.6604529590742432,0.000011425568136375581,0.00001504298095190068
PHH MORTGAGE CORPORATION,"PINGORA LOAN SERVICING, LLC",1,147000.0,201907,0.00007722604062089736,0.00005768292311910942,3.5155069009400466e-6,2.2025267486194116e-6
"UNITED SHORE FINANCIAL SERVICES, LLC",NEW RESIDENTIAL MORTGAGE LLC,24983,6303962313.01,201908,0.4986925364792303,0.4820540186690156,0.032811537557344346,0.04485805939959835
HOMESTREET BANK,NEW RESIDENTIAL MORTGAGE LLC,21746,5933702940.68,201908,0.6533665835411472,0.6771221569247149,0.02856020877084458,0.04222334870614139
WEI MORTGAGE CORPORATION,ARC HOME LLC,20501,4501265731.99,201908,0.9865261536980896,0.9847611021782412,0.9956291583701617,0.9942488935374209
FIDELITY BANK,AMERIS BANK,20327,4451919100.36,201908,0.5128936213161082,0.5613836404597092,0.8453381019712218,0.8817932466839378
"STATE FARM BANK, F.S.B.","STATE FARM BANK, FSB",15248,1991505471.92,201908,0.4095291811027852,0.41266664930648195,0.9824742268041237,0.9800766684279386
"LOANDEPOT.COM, LLC",PHH MORTGAGE CORPORATION,8650,2003056900.09,201908,0.3638428535374779,0.3899730997119525,0.26139248156654177,0.27812969939528526
BROKER SOLUTIONS INC. DBA NEW AMERICAN FUNDING,PHH MORTGAGE CORPORATION,6890,1837457082.27,201908,0.14485136441996385,0.15561889231747728,0.20820742173334944,0.2551357307525966
ALABAMA HOUSING FINANCE AUTHORITY,ALABAMA HOUSING FINANCE,5826,907670972.2,201908,0.3181694063677571,0.31841200215264115,0.9886305786526387,0.9896798290690795
THIRD FEDERAL SAVINGS AND LOAN ASSOCIATION OF CLEVELAND,THIRD FEDERAL SAVINGS AND LOAN ASSOCIATION OF CLEVELAND (MHC),5148,667428838.61,201908,0.9965156794425087,0.9960433032155804,0.984321223709369,0.9853110262192163
UW CREDIT UNION,UNIVERSITY OF WISCONSIN CREDIT UNION,4399,773390411.4,201908,0.4359762140733399,0.4428380828380099,0.9708673581990731,0.9613814236033528
FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF LAKEWOOD,FIFTH THIRD BANK,2912,538508864.21,201908,0.31181068636899023,0.36066596885055513,0.02287222344402903,0.022105579436524633
NATIONAL EXCHANGE BANK AND TRUST INC.,NATIONAL EXCHANGE BANK AND TRUST,2870,353529675.43,201908,0.9869325997248969,0.9867760332714905,0.9845626072041166,0.9784970149952703
ROUNDPOINT MORTGAGE SERVICING CORPORATION,"AURORA FINANCIAL GROUP, INC.",2545,669057709.71,201908,0.016398618521095906,0.021755180846717733,0.04474410590903497,0.048960737529754376
ST. MARY S BANK CREDIT UNION,ST. MARY'S BANK CREDIT UNION,2239,379273226.74,201908,0.8404654654654654,0.8305973701856649,0.9880847308031774,0.9844828527852179
NATIONSTAR MORTGAGE LLC,"PINGORA LOAN SERVICING, LLC",1795,376755233.93,201908,0.006374946283530619,0.007464584325218986,0.006158459390192439,0.005485193625447784
BANK FIRST NATIONAL,"BANK FIRST, NATIONAL ASSOCIATION",1718,237110027.53,201908,0.9924898902368573,0.9931797059845078,0.9942129629629629,0.9918969919014914
"AMERICAN FINANCIAL RESOURCES, INC.","AMERICAN FINANCIAL RESOURCES,INC.",1471,177812972.66,201908,0.9879113498992612,0.9841165998474,0.9800133244503664,0.9766081515030695
STANDARD MORTGAGE CORPORATION,STANDARD MORTGAGE CORP.,1301,206289312.25,201908,0.15928011753183155,0.1612879313653826,0.9142656359803233,0.8902760112995632
"HARBORONE MORTGAGE, LLC",HARBORONE MORTGAGE,1219,250564463.41,201908,0.39208748793824383,0.40230215418650694,0.997545008183306,0.9986687841947672
THE FIDELITY DEPOSIT AND DISCOUNT BANK,FIDELITY DEPOSIT AND DISCOUNT BANK,1154,159925632.63,201908,0.8149717514124294,0.8197482934620858,0.9871685201026519,0.9871487536346206
"STEARNS LENDING, LLC.",NEW RESIDENTIAL MORTGAGE LLC,1131,303372349.5,201908,0.4820971867007673,0.4848943557034913,0.0014854040338372675,0.002158752574707076
"ASSURANCE FINANCIAL GROUP, LLC",ASSURANCE FINANCIAL,1059,177211967.96,201908,0.40746440938822626,0.40995178921981523,0.9805555555555555,0.9795859669215023
"NETWORK FUNDING, L.P.",NETWORK FUNDING LP,1033,172830453.33,201908,0.4495213228894691,0.4535144877797288,0.996142719382835,0.9941328884655604
FIRST TENNESSEE BANK NATIONAL ASSOCIATION,"FIRST TENNESSEE BANK, NATIONAL ASSOCIATION",948,113399032.12,201908,0.42152067585593594,0.4302370535078592,1.0,1.0
"FORWARD FINANCIAL BANK, SSB",FORWARD BANK,760,93551522.91,201908,0.988296488946684,0.9881051791338709,0.975609756097561,0.9748756084470477
SAVINGS INSTITUTE BANK AND TRUST COMPANY,BERKSHIRE BANK,755,130698759.34,201908,0.994729907773386,0.9957221601913305,0.28192681105302464,0.2906650648163783
GUARANTY HOME MORTGAGE CORPORATION,GUARANTY TRUST COMPANY,746,129971866.19,201908,0.3343792021515016,0.3464946415738724,1.0,1.0
TEXAS BANK,TEXASBANK,713,93107804.39,201908,0.9875346260387812,0.9908566542492341,0.9889042995839112,0.9864284751959872
METRO HEALTH SERVICES FEDERAL CREDIT UNION,METRO FEDERAL CREDIT UNION,646,82899641.08,201908,0.9877675840978594,0.9902087394977497,0.9714285714285714,0.9666735236183341
AMERICAN NATIONAL BANK,AMERICAN NATIONAL BANK & TRUST,596,79105766.15,201908,0.43032490974729243,0.42368224615546346,0.9754500818330606,0.9517425883393804
"MORTGAGE SOLUTIONS OF COLORADO, LLC","MORTGAGE SOLUTIONS OF CO, LLC",585,93519671.02,201908,0.2831558567279768,0.26846417396764105,1.0,1.0
THE BRYN MAWR TRUST COMPANY,BRYN MAWR TRUST COMPANY,581,128944839.34,201908,0.3512696493349456,0.36574623556626473,1.0,1.0
THE CROGHAN COLONIAL BANK,CROGHAN COLONIAL BANK,577,62412562.56,201908,0.5092674315975286,0.5161730101778854,0.9948275862068966,0.9926204617251901
SACRAMENTO FEDERAL CREDIT UNION,SACRAMENTO CREDIT UNION,545,99378736.24,201908,0.9891107078039928,0.9897088061540076,0.9981684981684982,0.9966803643006006
THE NATIONAL BANK OF MIDDLEBURY,NATIONAL BANK OF MIDDLEBURY,497,88643089.86,201908,0.9900398406374502,0.990063373031531,0.9841584158415841,0.9814109704214942
HARBORONE BANK,HARBORONE BANK (MHC),449,85061805.37,201908,0.261046511627907,0.2625716943617683,0.9933628318584071,0.9937265479619859
"MERIWEST MORTGAGE COMPANY, LLC",MERIWEST MORTGAGE,438,112101265.9,201908,0.2959459459459459,0.2932849975818196,0.9931972789115646,0.9927910544822088
AMERICAN PACIFIC MORTGAGE CORPORATION,AMERICAN PACIFIC MORTGAGE CORP,437,116233531.01,201908,0.997716894977169,0.9967357832385176,0.6796267496111975,0.6684793045704981
"PROVIDENT FUNDING ASSOCIATES, L.P.",PROVIDENT FUNDING ASSOCIATES,433,103436625.81,201908,0.004830594508963932,0.005122590467013741,0.9232409381663113,0.8928833098942193
PREMIER MEMBERS FEDERAL CREDIT UNION,PREMIER MEMBERS CREDIT UNION,428,92912218.59,201908,0.9794050343249427,0.9780751217115928,0.9532293986636972,0.954799442509011
"HNB BANK, N.A",HNB NATIONAL BANK,411,42316396.01,201908,0.9809069212410502,0.9644802571718284,0.9903614457831326,0.9887147940151504
"STEARNS LENDING, LLC.",FREEDOM MORTGAGE CORPORATION,392,113537320.66,201908,0.16709292412617222,0.18152386926999953,0.0022301744883968344,0.0029827777597797684
VANDYK MORTGAGE CORPORATION,VAN DYK MORTGAGE CORPORATION,388,59334669.87,201908,0.3288135593220339,0.3532685763009571,0.9371980676328503,0.9302048530034038
"INTERNATIONAL BANK OF COMMERCE, INC.",INTERNATIONAL BANK OF COMMERCE,370,51657155.72,201908,0.40748898678414097,0.4194209544058646,0.9711286089238845,0.9687928744692258
MORTGAGE MANAGEMENT CONSULTANTS,MORTGAGE MANAGEMENT CONSULTANTS INC,353,84735746.25,201908,0.3533533533533533,0.37867951395281085,0.9724517906336089,0.9678030018846637
"RESIDENTIAL MORTGAGE SERVICES, INC.",RESIDENTIAL MORTGAGE SERVICES,352,70242228.11,201908,0.34577603143418467,0.3464230677553058,0.8778054862842892,0.8617702527523052
"FIRST CONTINENTAL MORTGAGE, LTD",FIRST CONTINENTAL MORTGAGE LTD,336,76405292.53,201908,0.44621513944223107,0.4374649756381073,0.8936170212765957,0.8948715844651082
THE AMERICAN NATIONAL BANK OF TEXAS,AMERICAN NATIONAL BANK OF TEXAS,332,54812621.18,201908,0.2996389891696751,0.296836132819015,0.9707602339181286,0.9641855869546351
FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF LORAIN,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF LORAIN,304,33120134.46,201908,0.9934640522875817,0.9899184871970168,0.9934640522875817,0.9934907422753935
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","BAYVIEW LOAN SERVICING, LLC",278,40704038.43,201908,0.0003903315712249812,0.00031482844444017066,0.3792633015006821,0.35314456043670733
THE FIRST NATIONAL BANK OF CARMI,FIRST NATIONAL BANK OF CARMI,275,32730049.19,201908,0.40922619047619047,0.4152785442821941,0.9649122807017544,0.9578858635486662
THE HARVARD STATE BANK,HARVARD STATE BANK,265,35806290.87,201908,1.0,1.0,0.9814814814814815,0.9810402080890644
WEST VIRGINIA HOUSING DEVELOPMENT FUND,WEST VIRGINIA HOUSING,230,28696540.26,201908,0.1359338061465721,0.14244148893705927,0.9787234042553191,0.9684131029001427
AMERICAN PORTFOLIO MORTGAGE CORPORATION,AMERICAN PORTFOLIO MORTGAGE CORP,228,34376175.89,201908,0.2766990291262136,0.28604876092304715,0.9421487603305785,0.9210903748402768
"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP","PINGORA LOAN SERVICING, LLC",217,54183000.0,201908,0.0318135170796071,0.038681147883489135,0.0007445045613770246,0.0007888523355268289
BANKSOUTH MORTGAGE COMPANY LLC,"BANKSOUTH MORTGAGE, A WHOLLY OWNED SUBSIDIARY OF BANKSOUTH",214,45488412.79,201908,0.3855855855855856,0.39372890168657315,0.895397489539749,0.8720534644961925
LIFESTORE BANK,LIFESTORE BANK (MHC),206,34791619.660000004,201908,0.3020527859237537,0.32312235557119795,0.9363636363636364,0.9161567334909421
COMMUNITY ST BK,COMMUNITY STATE BANK,206,29032454.38,201908,0.40313111545988256,0.3978032490552773,0.9716981132075472,0.9437012605974909
"MIDWEST LOAN SOLUTIONS, INC.",MIDWEST LOAN SOLUTIONS INC,202,26617565.27,201908,0.3046757164404223,0.32421030022464786,0.9950738916256158,0.9914700447637561
FIRST NATIONAL BANK OF TRENTON,"CAPTEX BANK, NATIONAL ASSOCIATION",156,27089145.2,201908,0.9873417721518988,0.9860254645516959,1.0,1.0
"BTH BANK, NA","BTH BANK, NATIONAL ASSOCIATION",132,25201345.17,201908,0.5789473684210527,0.5933149534946637,0.9428571428571428,0.9132462382604073
THE CITIZENS FIRST NATIONAL BANK OF STORM LAKE,CITIZENS FIRST NATIONAL BANK,129,15465719.13,201908,0.6113744075829384,0.6443102411553053,0.9699248120300752,0.9701412378352446
"WATERMARK CAPITAL, INC.",WATERMARK CAPITAL INC.,125,33722483.36,201908,0.423728813559322,0.42111699322254925,0.8445945945945946,0.8138551942790707
NATIONSTAR MORTGAGE LLC,MATRIX FINANCIAL SERVICE CORP,122,29064680.84,201908,0.00043328325715361315,0.0005758374727773538,0.00025716640563573856,0.00027608278526126544
SUNTRUST BANK,"SPECIALIZED LOAN SERVICING, LLC",121,21522103.6,201908,0.0004079926089272829,0.00037011519673536104,0.0016548366361684378,0.0014873686090924676
THE CITY NATIONAL BANK OF SULPHUR SPRINGS,CITY NATIONAL BANK OF SULPHUR SPRINGS,109,14763043.93,201908,0.10987903225806452,0.10423908621281716,0.9646017699115044,0.927091384254929
OAK BANK,WINTRUST BANK,108,25316975.75,201908,0.24269662921348314,0.2705252589104821,0.9557522123893806,0.9571009691982595
FIRST GUARANTY MORTGAGE CORPORATION,"PINGORA LOAN SERVICING, LLC",88,16738046.8,201908,0.05469235550031075,0.061177611296538904,0.00030191890046625883,0.00024368985309667913
MORGAN STANLEY MORTGAGE CAPITAL HOLDINGS LLC,"MORGAN STANLEY MORTGAGE CAPITAL HOLDINGS, LLC",88,21630948.98,201908,0.41706161137440756,0.41989781077731886,0.9361702127659575,0.9331750039080543
"CHERRY CREEK MORTGAGE CO., INC.","LAKEVIEW LOAN SERVICING, LLC",87,17148517.06,201908,0.8446601941747572,0.7911703180263788,0.00046350806344200025,0.0003523545496704704
"STEARNS LENDING, LLC.","LAKEVIEW LOAN SERVICING, LLC",80,18834683.82,201908,0.03410059676044331,0.03008369911339828,0.0004262143112110347,0.00038700060841189706
FALL RIVER MUNICIPAL EMPLOYEES CREDIT UNION,FALL RIVER MUNICIPAL CREDIT UNION,79,13615202.16,201908,0.9875,0.9882474779697337,1.0,1.0
SANFORD INSTITUTION FOR SAVINGS,PARTNERS BANK,77,13083733.74,201908,1.0,1.0,0.9506172839506173,0.9412261240822817
"LOAN SIMPLE, INC.",LOAN SIMPLE,67,11997972.96,201908,0.32682926829268294,0.32051199392105123,1.0,1.0
"1ST ALLIANCE LENDING, LLC",THE MONEY SOURCE INC.,39,6088636.32,201908,1.0,1.0,0.004041869623795212,0.003139634047949346
WATERSTONE MORTGAGE CORPORATION,WATERSTONE MORTGAGE CORP.,34,5244713.38,201908,0.2833333333333333,0.26674981787151625,0.8947368421052632,0.887173149791643
