servicer_from,servicer_to,n_loans,total_upb,transition_month,frac_seller_n,frac_seller_upb,frac_buyer_n,frac_buyer_upb
PULTE MORTGAGE LLC,ARVEST CENTRAL MORTGAGE COMPANY,1078,300456550.74,201908,0.3911465892597968,0.3777326030571925,0.0728969434676765,0.016875676459100677
"STEARNS LENDING, LLC.",NEW RESIDENTIAL MORTGAGE LLC,1007,253881832.76,201908,0.19243263902159374,0.17680136179121853,0.018326417704011066,0.0027057653893607027
NATIONSTAR MORTGAGE LLC,NEW RESIDENTIAL MORTGAGE LLC,1002,169570181.05,201908,0.06382978723404255,0.003568644028541188,0.01823542258134964,0.0018072074002492646
THE MONEY SOURCE INC.,"THE MONEY SOURCE, INC.",969,257053225.19,201908,0.969,0.5108120297168398,0.9768145161290323,0.5135769187218073
WEI MORTGAGE CORPORATION,ARC HOME LLC,618,185609617.35,201908,0.9611197511664075,0.13566829236014347,0.8196286472148541,0.1259930364518107
AMERICAN PACIFIC MORTGAGE CORPORATION,AMERICAN PACIFIC MORTGAGE CORP,328,81642300.95,201908,0.656,0.5578234433919274,0.6188679245283019,0.587895130265192
PULTE MORTGAGE LLC,"PNC BANK, NATIONAL ASSOCIATION",256,73352877.38,201908,0.09288824383164006,0.09269514504528643,0.016226151993408124,0.0016857482592235972
NATIONSTAR MORTGAGE LLC,MATRIX FINANCIAL SERVICE CORP,250,58206915.83,201908,0.015925595617276085,0.00122436312967654,0.012077294685990338,0.0011796695232285655
"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP","PINGORA LOAN SERVICING, LLC",209,42203000.0,201908,0.08116504854368932,0.04864658133215388,0.003651739381126273,0.0010353958158147436
AMERICAN PACIFIC MORTGAGE CORPORATION,"CMC FUNDING, INC.",163,33254051.75,201908,0.326,0.227136437025608,0.009655826076654227,0.008191460126345574
"EMBRACE HOME LOANS, INC.",RUSHMORE LOAN MANAGEMENT SERVICES LLC,117,26850712.97,201908,0.19370860927152317,0.04402418767498292,0.4448669201520912,0.006692520328321845
PARTNERSHIP BANK,BANK FIRST NATIONAL CORPORATION,95,15777251.73,201908,1.0,0.07089123173102184,0.8333333333333334,0.07013018500901827
"STEARNS LENDING, LLC.","LAKEVIEW LOAN SERVICING, LLC",91,18859894.52,201908,0.017389642652398243,0.013119565033003414,0.008653480410802586,0.0007764684917462708
NATIONSTAR MORTGAGE LLC,FREEDOM MORTGAGE CORPORATION,76,17258130.74,201908,0.004841381067651931,0.0003626858063044963,0.004122592893951722,0.0006592495695242069
FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF LAKEWOOD,FIFTH THIRD BANK,45,12683632.27,201908,0.08928571428571429,0.04567795300570442,0.0038766368022053756,0.0003445628981786026
FIRST GUARANTY MORTGAGE CORPORATION,"PINGORA LOAN SERVICING, LLC",29,5883000.0,201908,0.453125,0.2701080198575262,0.0005067006796778083,0.00014433176751506142
